our_id,document_link,reviewer_1,reviewer_2,first_published
Alexander_2022_beyond_ethics,https://doi.org/10.5642/jhummath.OCYS6929,1,2,2022
Cuadrado_2021_classification,https://doi.org/10.1109/educon46332.2021.9453917,2,1,2021
Kross_2019_practitioners_teaching,https://doi.org/10.1145/3290605.3300493,2,1,2019
Yamamoto_2021_development,https://doi.org/10.18178/ijiet.2021.11.4.1505,2,1,2021
Doudesis_2022_data_science,https://doi.org/10.1016/j.ijmedinf.2021.104668,1,2,2021
Raj_2019_empirical_approach,https://doi.org/10.1145/3344429.3372503,1,2,2019
Mike_2020_interdisciplinary_education,https://doi.org/10.1109/EDUCON45650.2020.9125200,1,2,2020
Allen_2021_experiential_learning,https://doi.org/10.1145/3408877.3432536,4,2,2021
Banadaki_2022_enabling_data,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138273525&partnerID=40&md5=4bcc15cec803e71371d05123abe0108f,4,2,2022
Hicks_2019_guide,https://doi.org/10.1080/00031305.2017.1356747,4,2,2018
Hoyt_2020_overview,https://doi.org/10.1093/jamiaopen/ooy040,4,2,2018
Konkol'ová_2018_active_learning,https://doi.org/10.1109/ICETA.2018.8572219,2,4,2018
Rao_2018_milo,https://doi.org/10.1109/VLHCC.2018.8506504,4,2,2018
Schmitt_2021_evaluation_edisons,https://doi.org/10.3934/fods.2021031,4,2,2021
Hazzan_2021_journal,https://doi.org/10.1145/3469281,2,5,2021
Price_2020_challenges,https://doi.org/10.1109/cic48465.2019.00015,5,2,2020
Hassan_2019_embedding_data,https://doi.org/10.1109/EIT.2019.8833753,5,2,2019
Haynes_2019_integrating_data,https://doi.org/10.1145/3349266.3351417,2,5,2019
Kakeshita_2022_development,https://doi.org/10.1007/978-3-030-97986-7_13,5,2,2022
Oliver_2021_undergraduate_data,https://doi.org/10.7717/peerj-cs.441,2,5,2021
Zheng_2022_pressure_test,https://doi.org/10.1145/3537674.3554748,5,2,2022
Bhavya_2020_collective_development,https://doi.org/10.1145/3328778.3366961,2,3,2020
De_2022_toward_holistic,https://doi.org/10.52041/serj.v21i2.40,2,3,2022
Pieterman_2022_integration,https://doi.org/10.1007/s11191-022-00363-x,3,2,2022
Ryan_2016_the_data,https://doi.org/10.1016/b978-0-12-803844-4.00005-4,3,2,2016
Shao_2021_exploring_potential,https://doi.org/10.1016/j.acalib.2021.102320,2,3,2021
Sinha_2022_embodied_agents,https://doi.org/10.1007/978-3-031-11647-6_26,2,3,2022
Song_2017_big_data,https://doi.org/10.1515/jdis-2017-0011,3,2,2017
Rubel_2021_critical_mathematics,https://doi.org/10.1007/s10649-021-10087-4,2,3,2021